Assignee,cord_uid,sha,title,url,Computational,Experimental - in vitro,Experimental - in vivo,Systematic review and/or meta-analysis,Clinical-interventional,Clinical-interventional,Clinical-observational,Clinical-observational,Systematic review and/or meta-analysis,Review,Other,,
GD,kjqtvcfg,01880ef487dfed3681dd6d296a0a82417b8f38a0,Impact of RNA Virus Evolution on Quasispecies Formation and Virulence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6770471/,,,,,,,,,,1,,,1
GD,6o9t2am7,3053529090a8974edc1ad695d3be4d407eef9674,"Two predominant MUPs, OBP3 and MUP13, are male pheromones in rats",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5824612/,,1,,,,,,,,,,,1
GD,mg2qs3b6,43ad9da868f9d2b2c6519be48b6f7fd70321df74,A harm reduction paradox: Comparing China's policies on needle and syringe exchange and methadone maintenance,https://doi.org/10.1016/j.drugpo.2011.09.010,,,,,,,,1,,,,,1
GD,qilhoaid,0bdae8c38f570965cc9a630a44b7089c2a5da0ed,Involvement of miR-15a in G0/G1 Phase Cell Cycle Arrest Induced by Porcine Circovirus Type 2 Replication,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4908419/,,1,,,,,,,,,,,1
GD,91cx2jye,dd63f666cdfaa58b86aa76662671a3d880892f59,CD133作为肺癌干细胞标记物的应用及其局限性,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5999939/,,,,,,,,,,1,,non systematic review or book chapter,1
GD,48l316ci,7aa69b98902425b5daeb3b1f647d067b8abf7157,"National Library of Medicine Disaster Information Management Research Center: Achieving the vision, 2010–2013",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4996476/,,,,,,,,1,,,,,1
GD,osbuqzob,3c090f2e4e0957237ef9348fbcd0025c3da28d41,Novel cyclophilin D inhibitors derived from quinoxaline exhibit highly inhibitory activity against rat mitochondrial swelling and Ca(2+) uptake/release,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7091716/,,1,,,,,,,,,,,1
GD,z9f8cval,b8ee195be637c05754e714310c9d0d5ba715d683,"Overview of Infectious Disease Surveillance System in Japan, 1999-2005",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4809251/,,,,,,,1,,,,,,1
GD,ud3x78u3,a22be780c7774b48b0f4415ed03d2e62ee098518,A Chemoinformatics Approach to the Discovery of Lead-Like Molecules from Marine and Microbial Sources En Route to Antitumor and Antibiotic Drugs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3944514/,1,,,,,,,,,,,,1
"ANNOTATOR 1, etc. Zayd Hayani",aperbzt3,35be4bfe3809797eb672c5f54b37d3cbd996db74,Highlights,https://doi.org/10.1016/j.jfma.2020.02.008,,,,,,,,,,,1,Commentary on variety of different subjects,1
,mpqj0ar0,7e5fba3bc6522cb759e6dc1ea55a61025a3fcf00,Infections in Chronic Lung Diseases,https://doi.org/10.1016/j.idc.2007.06.006,,,,,,,,,,1,,Non-systematic review,1
,9iyduxfl,8df846585ba870d8f9eb38e89d0fb152a294e847; 4bbf0ae8ce7ef38895bbd79f6fb222249f6fc9bb,Microbial pathogenesis and type III interferons,https://doi.org/10.1016/j.cytogfr.2016.02.005,,,,,,,,,,1,,Non-systematic review,1
,zcjal7pj,2490a12ef4b700055d34bde4325a59ca90b8186e,Diagnostic evaluation of assays for detection of antibodies against porcine epidemic diarrhea virus (PEDV) in pigs exposed to different PEDV strains,https://doi.org/10.1016/j.prevetmed.2016.11.005,,,1,,,,,,,,,,1
,6qctb9bk,e61c31e3d33e5a165b698a1a89a8ca7781d7e805,Process Characterization and Biophysical Analysis for a Yeast-Expressed Phlebotomus papatasi Salivary Protein (PpSP15) as a Leishmania Vaccine Candidate,https://doi.org/10.1016/j.xphs.2020.02.004,,,,,,,,,,,1,process characterization study on a new fermentation process for vaccine production (for commercial use),1
,4jqa52mw,9b7a6c77f4e0960c3e0a754c2bae7eeff278af0a,74 Infections Acquired from Animals Other Than Pets,https://doi.org/10.1016/b978-0-7020-6285-8.00074-5,,,,,,,,,,,1,book chapter,1
,v82oezkq,e7447d3d1c60fbae9063f9f6d931c07ac43151d0,High-level expression of active recombinant ubiquitin carboxyl-terminal hydrolase of Drosophila melanogaster in Pichia pastoris,https://doi.org/10.1016/j.pep.2008.08.010,,,1,,,,,,,,,,1
,91ypig4r,8b291c52103b777a67e540fe71f797e0ba58e844,"Use of a Multiplex RT-PCR Assay for Simultaneous Detection of the North American Genotype Porcine Reproductive and Respiratory Syndrome Virus, Swine Influenza Virus and Japanese Encephalitis Virus",https://doi.org/10.1016/s1671-2927(09)60189-9,,,1,,,,,,,,,,1
,eot38721,2bbca3851317fa2a82fa57c32729f43568ec6509,Molecular pathogenesis of severe acute respiratory syndrome,https://doi.org/10.1016/j.micinf.2006.06.012,,,,,,,,,,1,,non-systematic review,1
,wllxdxz3,f2f9088055600d4160e36db5cb6ea000916390a3,A Global Champion for Health—WHO’s Next?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4924837/,,,,,,,,,,,1,editorial,1
,jmj7se6c,fd738b997979c4b38c3a9aaa1b148a090fe94613; 2590692fa24c429d02c8d67f6100a132c3915473,"Design, Synthesis and Biological Evaluation of Novel Primaquine-Cinnamic Acid Conjugates of the Amide and Acylsemicarbazide Type",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6273687/,,1,,,,,,,,,,,1
,9ukf9vpg,edd01b846d4f547f0de446aea0a5d5b3a0555aa8,COVID-19: combining antiviral and anti-inflammatory treatments,https://doi.org/10.1016/s1473-3099(20)30132-8,,,,,,,,,,,1,commentary,1
,pji5oste,7988c12386e57fb0cb6e84b8884dba7ca26b1823,Chapter 8 Determining the Reliability and Validity and Interpretation of a Measure in the Study Populations,https://doi.org/10.1016/b978-0-12-374133-2.00008-3,,,,,,,,,,,1,book chapter,1
,r7ewmyu4,c770978b4f15c9b65abc19027b905089aa7a0067,Viral and atypical pathogens as causes of type 1 acute exacerbations of chronic bronchitis,https://doi.org/10.1111/j.1469-0691.1997.tb00299.x,,,,,,,,,,1,,non-systematic review,1
,3dpt63iq,a3dcabc8a78479a710364bd6ec5232816b638eb4,Antibody responses against SARS-coronavirus and its nucleocaspid in SARS patients,https://doi.org/10.1016/j.jcv.2004.05.006,,,,,,,,1,,,,study of antibody responses in COVID patients without a control group or specific intervention. ,1
,bdva04kp,803ec19b7aa3ceea17714f38f15d1080a36534fd,Feline leucocyte antigen class II polymorphism and susceptibility to feline infectious peritonitis,https://doi.org/10.1016/j.jfms.2003.12.010,,,1,,,,,,,,,,1
,btoxic0d,4c76e1e9a4f5afc01accd2dbbd43f0463744e8d2,Effectively Communicating the Uncertainties Surrounding Ebola Virus Transmission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4626028/,,,,,,,,,,,1,expert opinion,1
,yyh5isxj,fa5b74fe5f8005d4c77349198d0ac18f0822f906,"N-Linked glycosylation of the membrane protein ectodomain regulates infectious bronchitis virus-induced ER stress response, apoptosis and pathogenesis",https://doi.org/10.1016/j.virol.2019.02.017,,1,1,,,,,,,,,,
,idu4j78a,575eb53a312d827a688f809be60e1eb0bc52d99d,Genetic diversity of MERS-CoV spike protein gene in Saudi Arabia,https://doi.org/10.1016/j.jiph.2019.11.007,,,,,,,,1,,,,sequence and analysis of particular gene in human and camel samples without an intervention,1
,y15g1yak,d0464b088c3c7a939a2f1862f7e910ffd9340eeb,Clinical and laboratory profiles of hospitalized children with acute respiratory virus infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6021362/,,,,,,,1,,,,,,1
,9vtvtob7,a8ddea0a1b578a5866bf204ff4450f902fb48829,Hypothesis links emergence of chloroquine-resistant malaria and other intracellular pathogens and suggests a new strategy for treatment of diseases caused by intracellular parasites,https://doi.org/10.1016/j.mehy.2003.12.004,,,,,,,,,,,1,expert opinion,1
,ahm82ngx,c29d9817b5d3f5542d1aa9ce9eceb62376817b6d,Xijiao Dihuang Decoction combined with Yinqiao Powder reverses influenza virus-induced F-actin reorganization in PMVECs by inhibiting ERM phosphorylation,https://doi.org/10.1016/j.jtcms.2016.04.002,,1,,,,,,,,,,,1
,f4xdumzr,9c492e76efc05b17e67a3e09c7e3ac44cca89e29,Coinfection with Haemophilus parasuis serovar 4 increases the virulence of porcine circovirus type 2 in piglets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5696968/,,,1,,,,,,,,,,1
,av2gxfxy,5d242f75fdf42da4059b45f0b7e407da675418e2,A cell-based high-throughput approach to identify inhibitors of influenza A virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4629080/,,1,,,,,,,,,,,1
,o088rxb5,9f63ebfaab049c0968d72166761217b3aaa1fe00,Pneumothorax and mortality in the mechanically ventilated SARS patients: a prospective clinical study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1269458/,,,,,,,,1,,,,,1
,4i8rpw7f,4d8f2d58d2eec17e32a824312e1ca61b90a0c579,Infection of cultured bovine cells with bovine herpesvirus 1 (BHV-1) or Sendai virus induces different beta interferon subtypes,http://europepmc.org/articles/pmc3078687?pdf=render,,1,,,,,,,,,,,1
,19jwawrm,7ebedf373e4b3c414333bdd7be729cfbcab489b3,High reproduction number of Middle East respiratory syndrome coronavirus in nosocomial outbreaks: mathematical modelling in Saudi Arabia and South Korea,https://doi.org/10.1016/j.jhin.2017.09.017,1,,,,,,,,,,,,1
,xi0qdy38,7e92385d74e531617394983f187f6b4c9ca2f328,Neuroprotective Effects of Musk of Muskrat on Transient Focal Cerebral Ischemia in Rats,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6614976/,,,1,,,,,,,,,,1
,x1gjj138,ceb20b553bb8bf847fc4b72d555836e7ccc4403d,Viral and bacterial coinfection among hospitalized children with respiratory tract infections,https://doi.org/10.1016/j.ajic.2020.01.013,,,,,,,1,,,,,,1
,kop8cmzk,d72c90ddfa72ba7123cf8596c8828eea2db5ab3b,CD4(+) T-cell subsets and host defense in the lung,http://europepmc.org/articles/pmc3576701?pdf=render,,,,,,,,,,1,,non-systematic review,1
,ebkwv4zo,63fbcac09bf2a0133b41cb99e93dd2ce3aeeab05,Live-attenuated bivalent measles virus-derived vaccines targeting Middle East respiratory syndrome coronavirus induce robust and multifunctional T cell responses against both viruses in an appropriate mouse model,https://doi.org/10.1016/j.virol.2018.05.028,,,1,,,,,,,,,,1
,srk7b83b,18d519cf1ea884ddf381067f0733c18d8ad94c7a,"ZIKV Infection Induces an Inflammatory Response but Fails to Activate Types I, II, and III IFN Response in Human PBMC",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6008743/,,1,,,,,,,,,,,1
,ieb5ec5j,ad6a3623db73b778bbfabb99c47116c30459e66d,Auxiliary activation of the complement system and its importance for the pathophysiology of clinical conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5794838/,,,,,,,,,,1,,non-systematic review,1
,4qrg6lqu,cb495813627c5daa898a901ef2c076fe8469ea66,"Prevalence of Common Respiratory Viral Infections and Identification of Adenovirus in Hospitalized Adults in Harbin, China 2014 to 2017",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6277751/,,,,,,,,1,,,,,1
,0lp9mq7f,7d91e9b37d0e0a4f42a6734f2dde51642a0ce1e9,An Investigation of the Pathology and Pathogens Associated with Porcine Respiratory Disease Complex in Denmark,https://doi.org/10.1016/j.jcpa.2010.01.012,,,1,,,,,,,,,,1
,b6mlolpx,7ceac1c24cbfeaf66b1b60ccf30aa678b7ea75cd,Systematic review of respiratory viral pathogens identified in adults with community-acquired pneumonia in Europe,https://doi.org/10.1016/j.jcv.2017.07.019,,,,,,,,,1,,,,1
,bddiy1ea,0ebbd36f71b21273514341ae5d2b548133496444; 95280cbebb248bef42758705846293abb540f1cb,Direct Observation of Distinct A/P Hybrid-State tRNAs in Translocating Ribosomes,https://doi.org/10.1016/j.str.2009.12.007,,1,,,,,,,,,,,1
,f3a349cb,dbdeaab29e0c4133826fae57d6c15c981a9dbf1e,30 Infections,https://doi.org/10.1016/b978-012079027-2/50112-x,,,,,,,,,,,1,book chapter,1
,nx60hae0,eb31ba823f3f0b5c2d3d59167f83b5d0608ec1e0,A diagnostic oligonucleotide microarray for simultaneous detection of grapevine viruses,https://doi.org/10.1016/j.jviromet.2009.11.009,,1,,,,,,,,,,,1
,2p51q6vf,80191dad59333654f631d7ca6aeda3de523a971c,Ecology of Rabies Virus Exposure in Colonies of Brazilian Free-Tailed Bats (Tadarida brasiliensis) at Natural and Man-Made Roosts in Texas,http://europepmc.org/articles/pmc2944840?pdf=render,,,1,,,,,,,,,,1
,ew1sfb04,1b3f9daeb1b6fa660774ccef8f9e545ceaf7bdc9,Molecular characterization of a novel orthomyxovirus from rainbow and steelhead trout (Oncorhynchus mykiss),https://doi.org/10.1016/j.virusres.2017.01.005,,,1,,,,,,,,,,1
,l9urey1l,a971870f59458ab746d124fd2648df116b5f9224,Regulation and Cellular Roles of Ubiquitin-specific Deubiquitinating Enzymes,http://europepmc.org/articles/pmc2734102?pdf=render,,,,,,,,,,1,,non-systematic review,1
,570aeeqi,3c2c45ffd697ddd25c1285609569501bbce4ac97,"Severe Acute Respiratory Syndrome-Coronavirus Papain-Like Novel Protease Inhibitors: Design, Synthesis, Protein-Ligand X-ray Structure and Biological Evaluation",http://europepmc.org/articles/pmc2918394?pdf=render,,1,,,,,,,,,,,1
,c9zya2t7,2b7cc2e066ab4f8252246b530424d878b260b108,Design and Characterization of Viral Polypeptide Inhibitors Targeting Newcastle Disease Virus Fusion,https://doi.org/10.1016/j.jmb.2005.08.078,,1,,,,,,,,,,,1
,0ddutmdd,27bafe2069fadba9638ec9eb5ae1afaf3c78cfb8,Mechanisms of HIV non-progression; robust and sustained CD4+ T-cell proliferative responses to p24 antigen correlate with control of viraemia and lack of disease progression after long-term transfusion-acquired HIV-1 infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2633348/,,,,,,,1,,,,,,1
,cr6omr9l,32b8b12a0247b3413442631d5a1bee05a4e5d689,How do we … integrate pathogen reduced platelets into our hospital blood bank inventory?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850142/,,,,,,,,,,,1,expert opinion,1
,mcxkifh6,59d3f98d78f2ff993174b173807435e75df8bc3a,Evidence for widespread infection of African bats with Crimean-Congo hemorrhagic fever-like viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4877572/,,,1,,,,,,,,,observational study of antibodies in bats,1
,laafn6le,7f18485c8eb332e4a939d0486ee1b0f58364bc13,Short-term Follow-up Results of Drug-eluting Stenting in Premature Coronary Artery Disease Patients with Multiple Atherosclerotic Risk Factors,https://doi.org/10.1016/s1726-4901(08)70136-9,,,,,,,,1,,,,,1
,f4p00yaw,f687a102f9d49e8b7c414852d441d25969466137,Differential removal of human pathogenic viruses from sewage by conventional and ozone treatments,https://doi.org/10.1016/j.ijheh.2018.01.012,,1,,,,,,,,,,study of virus presence in sewage water,1
,8p0k92rs,ef70581edd5db438fb914a692172170ff15e0074; 8d6bcc2f1d98339588d638a0260826d7159d3049,Thymus transplantation for complete DiGeorge syndrome: European experience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5716670/,,,,,,,,1,,,,,1
Margaret-Ellen Johnson,d991ccvr,13bea4e60e6161f1132a83bc5ed2b3bceab1e05e,Host Mixing and Disease Emergence,https://doi.org/10.1016/j.cub.2009.03.023,,,,,,,,1,,,,,1
,ydw23lvz,b3af6b45f0823ac2db61007d4ba8904733c0d583; d54dad1b3fabba5ab161cf9dddc1c1ac7e89dcda,Human infection with avian influenza A H7N9 virus: an assessment of clinical severity,https://doi.org/10.1016/s0140-6736(13)61207-6,,,,,,,,,,,1,Epidemiological calculation measures clinical severity of H7N9,1
,e7phs0jd,4c4ef70104b17eda718e5376299d038b8dc0c624,Section 4 Diagnostic and Therapeutic Procedures,https://doi.org/10.1016/b978-1-4377-0798-4.00004-9,,,,,,,,,,,1,book chapter,1
,xiwsk0rm,5d8465c31b2ac7f410aa07470c3670362e708307,Chapter 4 Modeling Risks in Supply Chains,https://doi.org/10.1016/b978-0-12-813830-4.00003-4,,,,,,,,,,,1,book chapter,1
,vxk6eyvi,31ad578fcf557618a7871f7fa4c69faa34f27118,Type I Interferon Receptor Signaling of Neurons and Astrocytes Regulates Microglia Activation during Viral Encephalitis,https://doi.org/10.1016/j.celrep.2018.09.003,,1,,,,,,,,,,,1
,fhqc0ty1,1d2c4cd6798ba4eb5e8e062248a7853df4bc74ca,Metagenomic analysis of viruses in toilet waste from long distance flights—A new procedure for global infectious disease surveillance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6331095/,,,,,,,,1,,,,,1
,pbr93xkb,c16ef70e46b997661c4aef194fd79c1b902a3c39,"Do citation trends reflect epidemiologic patterns? Assessing MRSA, emerging and re-emerging pathogens, 1963–2014",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4621863/,,,,,,,,,1,,,,1
,zgqivufm,d933a7e77858722cf803ffb33f6f80cd6ab7de7f,Identification and sequence determination of the capsid protein gene of feline calicivirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086951/,,1,,,,,,,,,,,
,7sb03moe,bad0e9f737316570c33138d5cc95cc233cd937ab,"Molecular detection of respiratory pathogens among children aged younger than 5 years hospitalized with febrile acute respiratory infections: A prospective hospital‐based observational study in Niamey, Niger",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869554/,,,,,,,,1,,,,,1
,5cxaiw4k,09f52955beb622ab2e6131067d1a4f22bc9e3f21,Three 3D graphical representations of DNA primary sequences based on the classifications of DNA bases and their applications,https://doi.org/10.1016/j.jtbi.2010.10.018,1,,,,,,,,,,,,1
,ruc5wnxs,5ec99e67f23c0c2795fad1ad551ab1abe4406841,Test Paper for Colorimetric Inspection of Fatty Acids and Edible Oils,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6210129/,,1,,,,,,,,,,,
,7o3mzzd4,1fd8f1880c1e04c879d89eab5311b06cfd7f2ddc; a73b3282c16605244dafb77300b9c5ae000e84c0,Unexpected Receptor Functional Mimicry Elucidates Activation of Coronavirus Fusion,https://doi.org/10.1016/j.cell.2018.12.028,,1,,,,,,,,,,,
,fakmw3cm,d0571fb440ff2f4ce7014760267fb9f273311415; 1369823dbf5f34fd8e2f5d5bba470711dfca4032,Multicentre randomised controlled trial to investigate the usefulness of continuous pneumatic regulation of tracheal cuff pressure for reducing ventilator-associated pneumonia in mechanically ventilated severe trauma patients: the AGATE study protocol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5724199/,,,,,1,,,,,,,,1
,u70p2q58,c82d59add457527b2858fb5157a92634815d9387,The New International Health Regulations and the Federalism Dilemma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1315361/,,,,,,,,,,,1,Bioethical/publ health Commentary on epidemic responses based on type of government ,1
,6hrdr9fe,f29732f07d2e23f950bd01eab12bdb0165e3cc17,Epidemiological characteristics and phylogenic analysis of human respiratory syncytial virus in patients with respiratory infections during 2011–2016 in southern China,https://doi.org/10.1016/j.ijid.2019.10.009,,,,,,,1,,,,,,1
,8cx8ryng,9ad668badb182f9b2ac9c89a43f18e15b6a3155d,Thermal aggregation of SARS-CoV membrane protein,https://doi.org/10.1016/j.jviromet.2005.05.022,,1,,,,,,,,,,,
,es8t6t0j,12aa1a04b599ef61ee16ed00b270af1a9b32fed0,"The Isolation, Pathogenesis, Diagnosis, Transmission, and Control of Avian Bornavirus and Proventricular Dilatation Disease",https://doi.org/10.1016/j.cvex.2010.05.014,,,1,,,,,,,,,,
,pw1cw2yw,8ed225224abbc32fa87bdefcf46bf6e4efc7fa43,Ubiquitination-mediated regulation of interferon responses,http://europepmc.org/articles/pmc3703147?pdf=render,,,,,,,,,,1,,,1
,6nd9vgtf,0be7b06a39aa31b27514a501ebdd477f42b0919a,Antifragility and Tinkering in Biology (and in Business) Flexibility Provides an Efficient Epigenetic Way to Manage Risk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3927596/,,,,,,,,,,,1,Opinion- bioethics,1
,bkyf12lx,839063ca98beeac93cfb9243045c7d14728420a7,Modified-live PRRSV subtype 1 vaccine UNISTRAIN(®) PRRS provides a partial clinical and virological protection upon challenge with East European subtype 3 PRRSV strain Lena,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5382438/,,,1,,1,,,,,,,,
,q5rcf7vg,60c83cfedf98238b33cbcb76551180c494eebd5d,Serine 105 and 120 are important phosphorylation sites for porcine reproductive and respiratory syndrome virus N protein function,https://doi.org/10.1016/j.vetmic.2018.04.010,,1,,,,,,,,,,,
,4qwp3um1,7859dc5bc2c21103513a0d3d27e148496c2c617c,Subcutaneous Implants of a Cholesterol-Triglyceride-Buprenorphine Suspension in Rats,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5401735/,,1,,,,,,,,,,,
,5xk3z4ck,00d4ff0cfe5582b3f2746b2a33d67f6bd4307e98; bccd7fb26272a0c36186a098011b7ca88004a019,"ULK1/2 Restricts the Formation of Inducible SINT-Speckles, Membraneless Organelles Controlling the Threshold of TBK1 Activation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6710720/,,1,,,,,,,,,,,
,woephusu,bc1e6466e56a99115c4ffcb9e921bf0261cb7ec0,Reassessing the risk from rabies: A continuing threat to the UK?,https://doi.org/10.1016/j.virusres.2010.06.007,,,,,,,,,,1,,Non-systematic reivew,1
,pirblwuq,d019cc0c8a7b587567d5dab9aaa78f4aeb3a02b9,Detection of HHV-6B in post-mortem central nervous system tissue of a post-bone marrow transplant recipient: a multi-virus array analysis,https://doi.org/10.1016/s1386-6532(06)70013-0,,,,,,,,1,,,,,1
,2hwt7l9a,94d2ebfc7a2a0ffc00b05ce8031fdfef3255af4a,The first imported case of Rift Valley fever in China reveals a genetic reassortment of different viral lineages,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5285499/,,,,,,,,1,,,,,1
,xjspi65a,d0a8b7f4cb8c1c634db8716057ae04282f65687f; e5a9130fe91644dc7bd9ef4f8d26e1d07faaca08,Evolutionarily Conserved Herpesviral Protein Interaction Networks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2731838/,,,,,,,1,,,,,,1
,f51rfq4e,b361b1cdfe6a672175a7a3f7b1957011a799f18f,The ideal reporting interval for an epidemic to objectively interpret the epidemiological time course,http://europepmc.org/articles/pmc2842610?pdf=render,1,,,,,,,,,,,,1
,0xd6fer0,bedec26c3620f77256b9abfba6f57bc7570297b5,Perceptions on the risk communication strategy during the 2013 avian influenza A/H7N9 outbreak in humans in China: a focus group study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5053133/,,,,,,,,1,,,,cross sectional study with interviews from citizens about effective communication by the government ,1
,94mbxnss,97e07d83db421faee2a7a42a0e2c8a117c08b016,Light whole genome sequence for SNP discovery across domestic cat breeds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996934/,,1,,,,,,,,,,,
