paper_id,sha,Study Type,Computational,Experimental - in vitro,Experimental - in vivo,Clinical-interventional,Clinical-observational,Systematic review and/or meta-analysis,Review
rxn5lges,a7c6ab514af0b9e5edc73e08e496ceb65111cfa9,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
3kxszvha,a8a55f01d9e4a3e3b77512767ab78bb8d1d74a25,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
daheoyro,aec923adf0e16d218315a3083aaa71fb9ddb8b39,['survey'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
yyzkemkn,aa92ab17aef0b2ef391bad5a3590956c72794948,"['cross-sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
12y420k8,80ab1037161868297a622ae5e5e24a7f91d10bf5,"['time series', 'genetic']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
qdety098,1a12f8004e57cbdc497edada74fdfd8431f4a9eb,['meta-analysis'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
ox4dwecj,04d9df812fd77e1231263d42ab45e570cd94d956,"['review', 'retrospective cohort', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
fc05u8mx,1c0ae4beee003ecb59ff15f81ed8f22cd9451353,"['questionnaire', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
k95wrory,cf3abd4ab4ea9d7d602482b62166463db3dffc02,"['review', 'survey']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
scfdlk5s,562b04e742412e61bd4087a2a13734391a988a8f,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
0pbjttv4,57a9bfeac00b440a156ffa1f6ae21aca7152b22c,"['review', 'case study']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
4fdupr3p,0f8451b64b7aa2e642036d79efc1969125c45873,"['review', 'genetic', 'meta-analysis']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
saloatt2,dc014f8a66864512015686665ebbf01c92d8089e,"['questionnaire', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
v07crluc,0ad29b032fe87db2641893f4cc880c22f2107712,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
4svsmhob,0043d044273b8eb1585d3a66061e9b4e03edc062,"['survey', 'retrospective study', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
gg4qi4tj,00951716e01c8e0cc341770389fc38d1b5455210,"['survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
ysyz3grd,3d6462be232a3f4b4aab41386a74bb8e6a118b44,['cross-sectional'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
atfe2avm,70945e1b77b2dd46582a7d73d30746432f209f0d,"['survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7cz1fvdi,5e80e58924fd2feae8218fc7c2c066e75cec0149,"['questionnaire', 'survey', 'cross section', 'cross sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
il3dgh9s,92911175d25c9f4bce7ace3050a4ddea1f5105eb,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
3to3la5p,0b227d1996bc5dfd895b43f6c6e2449c58252c67,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
f5d0gc77,c1e4465687748c1d03b1c648b1558d1051859b5a,"['cross-sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
s1gnwb2s,45f6818a37c16f974f9be1d2e94e0ff5b9887c4d,"['survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
w054dkn1,66d172659a7156097bd453af7028c06632c231a5,"['survey', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
517gka4h,6ec1c2c2244a8d8f5959fad54ba3b7923e72e971,"['survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
jtvf257r,90706dd8b172f0aeb996ea828c356155c32e0682,"['questionnaire', 'survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
idgtpokh,d5f9caf3c407fae4690cd853b95d3c3e9b0a8b5e,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
lobhurai,b31d9e4a450071584fa87e054414be87264def22,"['survey', 'clinical']",0.0,0.0,0.0,1.0,0.0,0.0,0.0
velir6gb,403d1861771bf1e5e3625b0f86247d7134c3873d,"['questionnaire', 'survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
nmf3cajc,c2263b536f0cdd99a4e09e96859c007d44cef013,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
dc51rffo,d1861375d64fea0dd4e02843a049792058ce6140,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
xt4aa2ur,60a7721ab454f05f6622087ecde3b186b505779f,['cross-sectional'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
m1nyt7ul,2c33d7f0e90a4a8a7e7be1d56308496b7e13dad5,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
d65r6q69,22212b4c01be73b039da9396b7d20fb4a3429cb5,"['review', 'genetic', 'meta-analysis']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
ysjw5pct,72e37ddb3310bf50385723819244148ab9a787f2,"['case study', 'cross section', 'cross sectional', 'retrospective study', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
29aqx87q,34483f6b88d4999066d631b65cdf0f256d305b6f,"['experimental', 'case study']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
516q2bm2,b7a6a987030c52cc7ecdf49c3933b6cfda488210,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
j55qog5p,310122c497498a3be55d1984730142fcf414a4c3,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
4i6km0oa,918a69132dead88bca9d30666a4eb1d3834206a6,"['questionnaire', 'survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
lrk4ty99,d38f954f1b3937ead02257e75454dd9ad2ec0ce6,"['review', 'questionnaire', 'cross section', 'cross sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
93j6svpt,1e9719d2d1a523240172b19f822f7a956c553fdf,"['review', 'case study']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
atsa7lif,132e94687b6ac1d68f3a33dcf090bc6f5865bb98,"['genetic', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
ct72a1og,ca2fa034524ce26d06b3674b3c494635d7d5f13b,['time series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
13cotyfb,4277d45726b61850deb6a0a4b2cabe450127ec69,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
2kidtdju,c8260c55e3605f2474cd9adb5fb722675f64bf6e,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
ntub7gnw,6d3a152b0d6066f6575684cce29eab1a7ed84b5a,['review'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
dqwzqyd4,3065f9bd3f5cbaad08a1f0e35f5781ccd0857cd7,['time series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
9hjk3vl7,882f40d2ce4eceeb438b59e25e2e023fb5e169ba,['time series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
h0wyqnkh,9cda7cc79c0dee43d486d8165181e5b5ca09a817,['review'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
obwrlq21,b38901ead62c88fd24f7d28ca738711e13fb79ad,['review'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
se2a5ypp,192e7d37cf521798de0394c2ad593f2bb77f5a77,"['questionnaire', 'cross section', 'cross sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
rz9nh1q7,1f7b47ec5e68a274a145bddd152303eba2f9d035,"['questionnaire', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
xrptpcvn,3bd56ae4a76caf910da9be6266e18b74308364b6,"['review', 'retrospective review', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
la23vxdt,3fdb963b71ffe6de9e5fb97eeefe647b9cdbfc96,['review'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
7cgurk6h,1b8a085682d10dad4baf90417a8cbcde144cc8c9,"['time series', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
ltmu3ncu,2e28d846c5181c13e9ff54ef725fb009dd966b47,"['review', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7nmaf6u0,1ca4dc2cbd2171a1b471d103caa4bb5d1f057eef,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
e6e6omxt,f9476a333c17961ff4cc34b45f4b2da5ed29457f,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7hjsux4m,a280d2019f9957487f81e4c5cf2d94a2a2f391a6,"['questionnaire', 'survey', 'clinical']",0.0,0.0,0.0,1.0,0.0,0.0,0.0
ie3msqwt,5b15c62ee761d6eefeb7d2ef023f804bfdc41edc,['genetic'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
h32isbwz,2ea1b31d8e9b2d8e4f980c0fd269f75dad4d1d75,"['review', 'questionnaire', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
cdfn9n1i,ff365ebbc0fc55476886b0abd129e227c1f8a527,"['review', 'meta-analysis', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
k0mdkews,6ff336c5f099acbe84cf7cfe5f68bd5ba672d6b8,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
j68x0yd1,11ccc8d0c6d5b3297821a0e39535ce9dcb4810ef,"['review', 'meta-analysis']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
b5dv2yxx,5036d9acb850bbb3705be78b3ab64dec35d68b27,"['prospective study', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
ez731lif,67ad221f50d67a02b89b0ea67da2a74d6d463d16,"['time-series', 'experimental']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
fdy0obvy,59e5392ae9728ae529623e00c6d2e411a931fffc,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
de0y745b,6f0c490d80ef3e7032010a057baa96d4d45ababc,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
k09j0t98,7db9b801730d8b60d1fc331ba3389460e9ea3794,['experimental'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
92e8z8kk,b35188139844b656464c0727fa39ec03d970c443,"['genetic', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
kmamrknk,05fcde0b042a42310a19070fae6de9a2a9935e71,"['genetic', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
jjoxin5s,5d62acbb74aea7559783bcf556ce7352b55ca03a,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
dpgbq2zz,a714dc2983f4139a10c0222d8816654277e72965,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
sqtiogt5,f061e6719f37322dba23bdecaaa47e68fb2c04b4,"['retrospective cohort', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
juq06rx2,ed91b54f1a51e6cca478909c62a47c7210a41a31,['questionnaire'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
2vqxsuxz,582505fda401e9da61e9632a110b2e57806d2e61,"['questionnaire', 'cross section', 'cross sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
1cgqrzg0,0aa3eda0fb09bf9f55864fc2b9157b9317f62323,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
gp6gz0bw,711a278ba27cfbfa11c5585a117f63a464560de4,['case study'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
c8ksqtot,01c6ed4b3dee404e4d908af40ab93183b573e9ec,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
f6wg8a2d,9952cfc72ce630cae558e4f98680a44b43494247,"['case series', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
67he6jlx,b8fecbc5515e46b4dd16b9e11b4b1ce9a576e6d7,['cross-sectional'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
9ftas3a5,b5d836ef3f064ed0bf47d2fa690786815ad26659,"['review', 'survey']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
zlmd3q9a,ff983b21fe80f1f3bf064a3cbc564b63111cadf5,['cross-sectional'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
4rqoenhr,c0e284c9dd2ca500ae5f10d04d0639d0f8779a16,"['time series', 'time-series']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
oohb90m5,b31dc72ffc01a849e4f2fce7ddd09067cfc82770,['review'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
k9r1msud,215e667edcc02054361258755a4db8bca18a4e9b,['review'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
piust0s6,4ec7c4ec545371f4b8c4a40db7d28fc534674c39,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
m9hmv8c8,6ccce7b6fb9a213959f56ae465bb75ad130d6c9a,"['review', 'prospective cohort', 'meta-analysis', 'cross-sectional', 'prospective cohort']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
lng7g1fu,012debf5a240a496518af146ddfc16c958339c2b,"['review', 'case study']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
cqqpvn1q,4d186611ecffce20666431e3e9988308833c0236,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
0x4zrfw3,159542778cfb78258a07f195a5b4aaf400cdcbcb,['time series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
u04mpzhy,7b0510f8258fc50bcff6f0e1a66c54c04093f9d1,"['review', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
47oxen29,64b95b0bd76c83bc56ae6e150c4aad0dd36437a2,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
3esrg1jw,cc65837c07beb5eedce242ab30fa377907f22546,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
5cxzc3z8,fcce653525bba82ca40e8934a2e37ee4de6e2c23,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
vl9n1fnc,d6f1c9865c7d63536a77b8ba4e9bad1b507f9eb6,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
u1m7yr8f,eac85c85c3a2ac1d3fe53e1e3b3fee98f52527ad,"['questionnaire', 'survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
nuhrd92z,e51146b66f1894acaf65626acab69810a1394a86,['case study'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
2wc1bxi1,5408b9cea3b1caf9f6cd026140d5414fab4c6e81,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
9e5ajbgq,42a8d5fd943cd29a518ec9683f549f105aac92f8,"['questionnaire', 'cross-sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5q69h2mp,f3016563bf2b8e925c63a3c6a9e11e287907863c,['survey'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
zssgqpv7,c410269beb98d142c4248faf1e0e212df05c585d,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
flsaa1wx,8936f7734e68b14b079a2645b8df710c8958e943,['survey'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
ptkw0csu,f91df0d67f4d6fc329815c233f76b5ef0dd3876a,"['case study', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
if53s671,e7a4eae5bc97a5dc97189e3faa40ef9a91bb3207,"['review', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
w90eitw9,5187f0f3f45b0a1882a44001d193a24c97b0bb1b,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
oafg4a4u,9bfe62e7518a5ca9952dac249961763cd167523f,['time series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
a04veokb,b03c7f6241f74f5934ebec0287004bf9ff784922,"['genetic', 'meta-analysis']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
4puyznsv,e3c77bacc976ab718dae1e74bedb00219d701c3e,['time-series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
y4htkvux,0597b458ac250cffe02827f4448a2bfd4e5e05f3,['meta-analysis'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
r8ba9530,9a2c1193b96d3e54da56f17d1060e236df5b0e38,"['meta-analysis', 'cross-sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
l3gmf5ws,4753feb97a6db2b1172caa96791e23e96ac9d287,"['survey', 'clinical']",0.0,0.0,0.0,1.0,0.0,0.0,0.0
f1f22cyc,91d5bd7d7d109d8f4ab66a54a4c6f9f5369fb19b,"['review', 'meta-analysis']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
a27prjq9,4bc6ead9368ec84dba7c56b78624f681293e568b,['review'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
osv673g3,8e30d311467bd72abd1a319a9f841158b6b685fc,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
fztcd1ir,62219dc0553022e4faac2b1523e7e0a2d1eaec30,['retrospective cohort'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
iypgdijg,cbf67540b068488c423bd787d23143b5246a432d,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
1d33lv3p,f55d236f93a8d11a6265a8c3fdfaa2c32b3af19b,"['questionnaire', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
alyyju5x,38a33f302357e8dced322858ad61fe20b876d445,['cross-sectional'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
j8666ial,23a2c32c86891deabe9176b41434f3ed202a5055,['questionnaire'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
bs8p50ig,acdc7132a3cc967450623c8ddcb38ec4214f6850,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
bazcczdj,44a5bfa3f7ab0f7df199e81440995ab24b8e1c58,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
fl9lur4h,0c88aef176b70c6b11a51028124680237a6e5abd,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
mfjyjjer,99bbd2818ef25a650c7057841b9679208fa1fdf1,['review'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
qgaamczt,3cdb4118771d5dd2bcd48fdc92397e78c21f10e3,['meta-analysis'],0.0,0.0,0.0,0.0,0.0,1.0,0.0
m9g21iz5,c68f8c6cb48f02e98cc75e94ed64b96561971457,"['prospective cohort', 'prospective cohort', 'prospective observational', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
8g70j0qw,f4bde74efeb547d3d6d3f935482a80c9d456198f,"['review', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
afe8gsqb,f33e3be8c6ec1d348cf8983037dcf8adb25e7f94,"['cross-sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
iz4l9i0d,38cd6b6409c31e4cf0545ea5b7104ed79c8f3e88,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
0rr2y17d,521a647145ffb1cefd8783cb1395719ad374e53f,['time-series'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
2r790nix,5b8a84f256f98e17d3eacb04c4189fda5ed2a0cf,['review'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
4mj7n0ax,6c8c1b3b2740db48366d400e1a120be896bd365e,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
iwwgfh9y,a130e842283c9931450509c80c2c2d7e158cb340,['review'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
uplr1gls,09879c5f821a55063fb3952102d9e0148c30ba93,['survey'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
mar8zt2t,b1b8c46ffa22a9a42bae2689db274e0e3d580e59,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvlxx1n7,a4eda0cc78a00f3a2e9e38f03bebb495d214c8f4,"['questionnaire', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
h6f3qg7c,63525d422f2c2925aec01fea328c8f56b382e1e4,"['review', 'genetic']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
4bnv2t3f,74f4764e69df8d0fa3ca4d83143e9e13000aee96,"['cross-sectional', 'retrospectively analyzed', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
p6pd1uei,aac65c7f71a49d05c3cdbdcf0811cd0ff98d2d23,"['prospective cohort', 'prospective cohort']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
72vya0vu,3b24e35e5f407e767841b4c066e13925da28aa37,"['review', 'experimental', 'case study', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
9gtnsyts,75e724c7bc6b9ce10735d40ba37dd0d3c6a03aa6,"['survey', 'cross-sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
2ecsecr0,4adec5ddbe1bd175bbcc5eb5cdf8b4e70ad8c6bd,['survey'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
x7keeovz,c3f610266367f07d736c1d744782554e8fc02155,"['questionnaire', 'clinical']",0.0,0.0,0.0,1.0,0.0,0.0,0.0
f0tkhi4f,47599902cfeaaf5cea64838d8179f9ac326a38ea,"['experimental', 'clinical']",0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwrtupo4,ec0f700252d3bb11b27961234e726a207a663e49,['clinical'],0.0,0.0,0.0,1.0,0.0,0.0,0.0
ztelgtyq,ec9040732c2587bf4776b0953905e8a87828e8cf,"['review', 'meta-analysis']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
sctbu485,fbfa58959569781edac533b6a37d56bac0f54b1a,"['questionnaire', 'survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
ouca1bol,f8c15039fad3e71a1479b9d09516aad16fc52f70,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
zyecue78,ae836e53c3ca9f8a84c0dbb3f2757ec7f17b6f49,"['questionnaire', 'survey', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
za3qypgg,188f3e97042155ac1709aa8b74c0755760c3b50d,"['review', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
nhw3tome,c6a033d784a9be08b8dda15cdf0f35f17e86effb,"['case study', 'histories']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
86kghmzf,6d327ca3f48a7c1b986ff9870304b123fffbad9b,['case study'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
4lf8n7mr,29e8d184ca8182734aa88bf96cd9fd1ab819c4ce,['review'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
k8csn6mv,088750280a9b691e8562ad5069ba521aec6f6015,['questionnaire'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
bep0xtxa,0146de390eb6bdb814a5bd33459ce2c74176a72d,"['review', 'meta-analysis']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
bfw8ys04,264e0644c0e8fec8825c5a709103743dd99ea722,['retrospective cohort'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
k5y1qc82,dafa879852c6f4a9a328debdd27f37fefe876ece,"['review', 'meta-analysis', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
vu431218,69ca8c0a79935fbe985f02fc53c1a9da5c42acd3,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
x6b59btr,f01dfb8b3f82a6ed33c97e4c22309ee8c0ac1b6a,"['questionnaire', 'survey']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
vnnnevrl,e53601fdcfda49cda637b01cc42da5b621abba13,"['meta-analysis', 'pooled analysis', 'clinical']",0.0,0.0,0.0,0.0,0.0,1.0,0.0
a2xzj65z,ec0ba9789f2626209533e5c378b8a8ac5c477543,"['questionnaire', 'survey', 'cross-sectional', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
mrs5j2ep,e2c84dba3a140f5acfab971b1eec78634168cca0,"['survey', 'cross-sectional']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
190zxwwj,d9dcb14ca476c86cc7c61f7650b76b47def235d4,"['retrospective cohort', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5o9bbspc,73243d95149d9f2260f3c852599d7d39f4cc8ccc,"['survey', 'clinical']",0.0,0.0,0.0,1.0,0.0,0.0,0.0
pdf3i2tt,93c00ba75eff9df14c2146bac171d72cac019c8b,['experimental'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
x23ej29m,f5cce8a5be5bc7be7a749a51ce8f71add6e5d08f,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
dmrtsxik,e4b18c2650a0735f7db3a316ff8c560da61931bb,['clinical'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
6wbrv9o1,cbf20969da0fdadbb513502aa324d940defc5f15,"['case series', 'clinical']",0.0,0.0,0.0,0.0,1.0,0.0,0.0
wxdkao69,16791519c4bf0f3fccd1844ba42c57b9e720327c,['review'],0.0,0.0,0.0,0.0,1.0,0.0,0.0
